title,location,district_clean,category,price_numeric,land_area_sqft,bedrooms,bathrooms,price_per_sqft,bed_bath_ratio,is_bungalow,is_villa,mentions_bhk,source,tokens,tokens_text,num_tokens
Land for Sale - Rs 90 Lakh Per Aana,"Baneshwor  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,45000000.0,1711.25,5.0,4.0,26296.566837107377,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '90', 'lakh', 'per', 'aana']",land sale r 90 lakh per aana,7
Land for Sale - Rs 90 Lakh Per Aana,"Baneshwor  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,51749802.77574872,1967.93,5.0,4.0,26296.566837107377,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '90', 'lakh', 'per', 'aana']",land sale r 90 lakh per aana,7
Land for Sale - Rs 80 Lakh Per Aana,"Baneshwor  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,40499985.39079621,1732.64,5.0,4.0,23374.726077428782,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '80', 'lakh', 'per', 'aana']",land sale r 80 lakh per aana,7
Land for Sale - Rs 4 Crore 50 Lakh,"Bhaisepati  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,45000000.0,1732.64,5.0,4.0,25971.927232431433,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '50', 'lakh']",land sale r crore 50 lakh,6
Land for Sale - Rs 34 Lakh Per Aana,"Lubhu  Lalitpur Metropolis, Lalitpur",Lalitpur,Land,13600000.0,1369.0,5.0,4.0,9934.258582907232,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '34', 'lakh', 'per', 'aana']",land sale r 34 lakh per aana,7
Land for Sale - Rs 4 Crore 45 Lakh,"Buddhanilkanth  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,44500000.0,2053.5,5.0,4.0,21670.318967616266,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '45', 'lakh']",land sale r crore 45 lakh,6
Land for Sale - Rs 70 Lakh Per Aana,"Gwarko 0 Lalitpur Metropolis, Lalitpur",Lalitpur,Land,28000000.0,1369.0,5.0,4.0,20452.885317750184,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '70', 'lakh', 'per', 'aana']",land sale r 70 lakh per aana,7
Land for Sale - Rs 36 Lakh Per Aana,"sanothimi  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,15524967.129291454,1475.95,5.0,4.0,10518.626734842952,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '36', 'lakh', 'per', 'aana']",land sale r 36 lakh per aana,7
Land for Sale - Rs 42 Lakh Per Aana,"sanothimi  Madhyapur Thimi, Bhaktapur",Bhaktapur,Land,19949907.962016072,1625.68,5.0,4.0,12271.73119065011,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', '42', 'lakh', 'per', 'aana']",land sale r 42 lakh per aana,7
Land for Sale - Rs 3 Crore 25 Lakh,"Pepsicola  Kathmandu Metropolis, Kathmandu",Kathmandu,Land,32500000.0,941.18,5.0,4.0,34531.120508298096,1.2195121951219514,0,0,0,GharGhaderi.com,"['land', 'sale', 'r', 'crore', '25', 'lakh']",land sale r crore 25 lakh,6
